mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,cv_gap,complexity,penalized_cv
0.7102714538574219,0.05484128728034893,0.10962677001953125,0.03220505629726048,20,15,,7,absolute_error,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': None, 'model__max_depth': 7, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.001}",0.3578941548240594,0.280694648523919,0.3387450821142345,0.43187513921456133,0.3545572581218579,0.3527532565597264,0.048329344118866996,1,0.6007624542207424,0.6049999699140866,0.6177276379719296,0.6041279438993001,0.5923616520151262,0.6039959316042369,0.00819020289723514,0.25124267504451053,9.716666666666667,0.25588498696081435
0.7090850353240967,0.07877618942349394,0.06780576705932617,0.026680735488965386,20,15,,12,friedman_mse,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.001}",0.36895102535823554,0.27484427931380073,0.31529546049771195,0.3831148634449606,0.38565737534137756,0.34557260079121727,0.043547587888426095,2,0.6460407352704913,0.6567595408259459,0.6397187150425152,0.6536485426557817,0.6434278763715404,0.647919082033255,0.00635492823453052,0.3023464812420377,14.716666666666667,0.2208179990231707
0.7003203392028808,0.031898618107609016,0.10712928771972656,0.013108492379701868,2,10,,,absolute_error,0.002,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': None, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.002}",0.2806607421646191,0.2422353082893266,0.29093573679521867,0.4072400033928746,0.33006267867537675,0.3102268938634832,0.05598957680830601,3,0.6336081097522432,0.654964252378365,0.6636022310703898,0.6661765806494753,0.6358422132201017,0.650838677414115,0.013689166129842912,0.3406117835506319,25.5,0.15051276962076204
0.6130783557891846,0.023267342056436113,0.07066459655761718,0.020903666278713214,5,10,,12,squared_error,0.001,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.001}",0.31067839471931313,0.2439554322922226,0.2631977947656614,0.32539862548947474,0.36210727401012566,0.30106750425535955,0.04267582413613321,4,0.713428235288636,0.7210306232173249,0.6992371374161408,0.713091947749082,0.715779199756535,0.7125134286855438,0.007219963000989548,0.41144592443018424,15.95,0.13566143070479508
0.7137195587158203,0.03243701903800189,0.1278059959411621,0.027819222155221996,20,10,,12,absolute_error,0.0001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.0001}",0.27930408736276136,0.21273935513989062,0.2542744745722264,0.41028220482120836,0.3361394103363071,0.2985479064464788,0.06868950926914293,5,0.6505636949520457,0.6703879949665612,0.6793415605224806,0.6814552881565286,0.6510296569219927,0.6665556391039218,0.013393764820547053,0.368007732657443,15.275,0.14969520001637374
0.5532186985015869,0.12548097887510895,0.07626786231994628,0.019695160123621536,20,2,,5,squared_error,0.002,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 5, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.002}",0.33841164313921634,0.16398377706876,0.22195738317920488,0.32898275415035305,0.3947733145258384,0.2896217744126745,0.08408324520618714,6,0.5862368387183768,0.5898195424583315,0.5900152926626193,0.5710705755620666,0.5799139107703504,0.583411232034349,0.0071719895509588785,0.29378945762167447,11.8,0.17369546424508842
0.7395945072174073,0.13410587221691905,0.07907028198242187,0.020647480534190115,20,5,,15,absolute_error,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': None, 'model__max_depth': 15, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.001}",0.28463394607003645,0.18186209270642062,0.1819664968869702,0.39529119595169093,0.32652066659343093,0.2740548796417098,0.08311750723000684,7,0.6944023017584465,0.7210211384121339,0.7115026035596775,0.7202669739875618,0.6950347761904461,0.7084455587816532,0.0116987071150308,0.43439067913994334,19.05,0.09441814194272968
0.6480783939361572,0.08175619738563156,0.1168830394744873,0.044468255834149165,20,1,,9,friedman_mse,0.0005,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': None, 'model__max_depth': 9, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0005}",0.2188298236091677,0.021753394365976897,0.20845042466122288,0.27083692077247223,0.24591179354987303,0.19315647139174255,0.08841879558848312,8,0.7730923586104005,0.7774145175204809,0.7601191938298619,0.762698117675855,0.7745438928663455,0.7695736161005888,0.006858914114009223,0.5764171447088463,21.175,-0.04043952925635364
0.5997213840484619,0.1439315226492361,0.13046469688415527,0.05529073324574432,2,20,log2,,friedman_mse,0.0,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 20, 'model__max_features': 'log2', 'model__max_depth': None, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0}",0.245534263836802,0.11617228319439621,0.06556766236824807,0.18028457056867786,0.2126028536115524,0.16403232671593532,0.06519458744191409,9,0.3598345163764758,0.4132329468251107,0.36105042736840853,0.31472762458408055,0.40917633443684787,0.3716043699181847,0.03641282809292716,0.20757204320224937,24.5,0.05288211159514804
0.6711025238037109,0.10930078442113911,0.08888239860534668,0.044981652128444474,10,2,,9,squared_error,0.002,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 9, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.002}",0.19268882052776115,0.03670336371181204,0.13491728179194318,0.20656157568961675,0.2161846214884331,0.15741113264191325,0.06661973147903291,10,0.8382665899204392,0.8504401460781631,0.8451385601734821,0.8441083675034357,0.833196598647417,0.8422300524645874,0.005944837168961913,0.6848189198226742,16.1,-0.10397548929602268
0.6079222679138183,0.054424674596591234,0.11005210876464844,0.04107390077121071,20,15,log2,,squared_error,0.002,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': 'log2', 'model__max_depth': None, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.002}",0.2773801333158762,0.12194876926319709,0.20821286880506717,0.06507611959382731,0.09952193099505591,0.15442796439460474,0.07754143998436719,11,0.4442434152815342,0.4439374111250831,0.452610817400559,0.35544783725465023,0.34257192792510616,0.40776228179738655,0.04824414487525087,0.2533343174027818,21.46666666666667,0.033327619970297775
0.5645017147064209,0.05329496635885849,0.0755505084991455,0.016080720366954196,2,20,log2,5,friedman_mse,0.0005,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 20, 'model__max_features': 'log2', 'model__max_depth': 5, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0005}",0.13633413109786063,0.1982832320886947,0.21831896785118932,0.14863769832709273,0.019907192561689713,0.14429624438530542,0.06920814708472052,12,0.20453533516836464,0.33783777592430486,0.3161605186205243,0.2633718252281432,0.215139753163489,0.26740904162096524,0.052987533855332544,0.12311279723565982,9.375,0.09295676535282447
0.6327481269836426,0.046071469644200544,0.09976062774658204,0.06504722889011912,20,2,log2,7,squared_error,0.002,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': 'log2', 'model__max_depth': 7, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.002}",0.04754183453112648,0.2110987810792312,0.08659715223493136,0.21219785981945838,0.06823177547160075,0.12513348062726964,0.07171269790687168,13,0.3641173963374268,0.4479991795198409,0.39455721547527045,0.40815510547440437,0.43129405111521646,0.4092245895844318,0.029125468233352974,0.28409110895716216,12.8,0.0106015924922629
0.608220100402832,0.059468395927563714,0.07426924705505371,0.016699968836558436,20,10,sqrt,9,absolute_error,0.002,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__max_features': 'sqrt', 'model__max_depth': 9, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.002}",0.04220244350765978,-0.011610210536227683,0.17814938372096611,0.18041343216763084,0.17569449737047715,0.11296990924610124,0.08155931226326023,14,0.2972061708186451,0.4382222916713866,0.3762865407614312,0.31003810583064606,0.4243205129674762,0.36921472440991704,0.057507924384713825,0.2562448151638158,9.8,0.014184223938765717
0.6740253925323486,0.05097562494861267,0.07879924774169922,0.02525112401482053,10,5,log2,7,squared_error,0.0,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 5, 'model__max_features': 'log2', 'model__max_depth': 7, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.0}",0.1496671309732317,0.01591553734098805,0.12585859686741796,0.13882552701541184,0.12308035743694223,0.11066942992679836,0.0483252078409307,15,0.47032802958143527,0.3972679249519234,0.4374458908554334,0.42589991289744045,0.46611924339385036,0.4394122003360166,0.026950483777740564,0.32874277040921823,10.6,-0.015090539716428032
0.6735017776489258,0.12463223576898608,0.0853888988494873,0.022885983438841784,2,10,log2,,friedman_mse,0.0005,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': None, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0005}",0.13016516331056327,-0.016911276744231207,0.17356233982230918,0.11500152021293641,0.11325019373076362,0.10301358806646825,0.06378840995836496,16,0.4304541115346582,0.43908510459145755,0.5200519556894546,0.41238864123669083,0.4512948176762491,0.45065492614570213,0.03693940826042501,0.34764133807923386,24.875,-0.057910880261263606
