mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,cv_gap,complexity,penalized_cv
0.558066463470459,0.13258846339453603,0.08445773124694825,0.011195677229781638,20,2,,5,squared_error,0.002,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 5, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.002}",0.4278484014072338,0.32992111657468315,0.4148087031852251,0.30364362794722777,0.34746657957034577,0.3647376857369431,0.04844179541343161,1,0.5862814088788784,0.5758751133767368,0.5737351373835742,0.5959659792284222,0.573380087334732,0.5810475452404688,0.008820071111109695,0.21630985950352566,11.8,0.27592923491070914
0.6700881958007813,0.10256709956924973,0.07071886062622071,0.02295631558927522,20,15,,7,absolute_error,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': None, 'model__max_depth': 7, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.001}",0.3920390406442238,0.3453893141536766,0.4067500236279249,0.29898865162048094,0.3037558883642578,0.34938458368211284,0.044154017670613534,2,0.5765596437065266,0.5895589358457478,0.5749520544308289,0.6030516609993264,0.597378176069451,0.5883000942103761,0.011114075033232295,0.23891551052826326,9.716666666666667,0.2568308216638873
0.6034116268157959,0.10386542969723768,0.10703849792480469,0.027578364926769388,20,15,,12,friedman_mse,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.001}",0.4279799921441787,0.273345626038374,0.4426410184837367,0.24521205994505602,0.3280393883119682,0.34344361698466275,0.07973328111072699,3,0.6436729925734079,0.6541296511830942,0.6389618042692004,0.6573476123070936,0.6464872057729721,0.6481198532211536,0.006746542480536055,0.30467623623649087,14.716666666666667,0.21787360096855762
0.638210391998291,0.0711701688629515,0.07953062057495117,0.013856585182959784,5,10,,12,squared_error,0.001,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.001}",0.41829631291593117,0.32137400930272497,0.35463059060405,0.24543401744380822,0.24490609235040317,0.31692820452338355,0.06635560552571518,4,0.7050417693775612,0.7145899051910971,0.699645709207918,0.7346063524057953,0.7017884764592879,0.7111344425283319,0.012801011809251334,0.39420623800494836,15.95,0.15755602122165163
0.6020706176757813,0.059973171960238485,0.10463380813598633,0.020499224137582605,2,10,,,absolute_error,0.002,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': None, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.002}",0.33659862822066167,0.2816495058739493,0.3746986877201176,0.23663235700589835,0.30058971008271695,0.3060337777806688,0.04709536651198119,5,0.6343618062319836,0.6360057327242832,0.6326345243228415,0.6589235854959397,0.6155227449441245,0.6354896787438344,0.013838473513432054,0.3294559009631656,25.5,0.15022421244356082
0.7446490287780761,0.1285437383938157,0.0881744384765625,0.03375666979271285,20,10,,12,absolute_error,0.0001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.0001}",0.33803518250415887,0.3078246260078409,0.3624989741749076,0.2253518101953177,0.2759295086521655,0.30192802030687804,0.04805658360001552,6,0.6483813111421517,0.6557138259380677,0.6476580038236924,0.6700889605372206,0.6350172518207293,0.6513718706523723,0.011483830716221291,0.3494438503454943,15.275,0.15957267268595507
0.6191348075866699,0.06815256582149139,0.13372139930725097,0.0486336708943116,20,5,,15,absolute_error,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': None, 'model__max_depth': 15, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.001}",0.37086160018152914,0.2789412851469689,0.31643307292695044,0.18796074090556403,0.2690240533437659,0.28464415050095565,0.060113519307829835,7,0.6867265055917634,0.6940709973028976,0.6924486361093043,0.71028803101183,0.6571389286644183,0.6881346197360425,0.01736283731128128,0.40349046923508686,19.05,0.11582248626867525
0.6362475872039794,0.04471466417607407,0.07463765144348145,0.016225281307305224,20,1,,9,friedman_mse,0.0005,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': None, 'model__max_depth': 9, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0005}",0.3581330197171505,0.213121154541291,0.32043699473975185,0.2676775662520414,0.20958655924351333,0.2737910588987496,0.05853176837964036,8,0.7670759320890146,0.7631699031235252,0.7549948770160487,0.7673819135993702,0.7634885783387151,0.7632222408333348,0.004470279725011137,0.4894311819345852,21.175,0.0706401452216448
0.6578608989715576,0.06802420755809607,0.09351611137390137,0.026190103264624173,10,2,,9,squared_error,0.002,"{'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 9, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.002}",0.3393884658731319,0.2294297474419872,0.2129090853969583,0.20345868585885551,0.18045507920353032,0.23312821275489265,0.055440910840089425,9,0.8354399463353068,0.8377760224384283,0.8456510692212396,0.825685868600565,0.8249402472666778,0.8338986307724434,0.007787576347192056,0.6007704180175508,16.1,0.0011585664487498704
0.5912521362304688,0.10369072562144319,0.072731351852417,0.02317043157479294,2,10,log2,15,absolute_error,0.002,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': 15, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.002}",0.2540582390911412,0.061377034620981985,0.23632430189353704,0.13564339740391573,0.10147452449566574,0.15777549950104836,0.07535592088389058,10,0.4418166486853793,0.4346864445456282,0.357408215340404,0.46117644059838614,0.3685147228311937,0.4127204944001983,0.04169092547962882,0.25494499489914996,19.5,0.040044751286345874
