mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__criterion,param_model__ccp_alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,cv_gap,complexity,penalized_cv
0.6043695926666259,0.1247665122678379,0.0762087345123291,0.01744065984339557,20,2,,5,squared_error,0.002,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 5, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.002}",0.2638957104794537,0.3420652797360635,0.35948517782407907,0.35033159737881214,0.43304711220814396,0.34976497552531044,0.05378388918305287,1,0.5950056900120058,0.5727234941694103,0.5572389946725083,0.58468313259833,0.5681340381565877,0.5755570699217685,0.013116526036719528,0.22579209439645803,11.8,0.25763774248655014
0.6196555137634278,0.0544046925862154,0.06348123550415039,0.016351129223804793,20,15,,12,friedman_mse,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.001}",0.25895005409230387,0.3547017445933165,0.37204274509303925,0.3482878614281272,0.4125105088701454,0.34929858281538645,0.050410548242627445,2,0.6597890019797472,0.6526616342715287,0.6411971129163819,0.6436797199083242,0.6242612118313821,0.6443177361814728,0.012011579613617067,0.29501915336608636,14.716666666666667,0.2271085458039229
0.6628415584564209,0.05297106470757611,0.10670971870422363,0.033336795160370816,20,15,,7,absolute_error,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 15, 'model__max_features': None, 'model__max_depth': 7, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.001}",0.2839648595970752,0.31855149378278225,0.36799321251426387,0.31697493764183904,0.4559036550022686,0.34867763170764576,0.05995147972320394,3,0.6024241416377902,0.6029135707318302,0.5630058354657844,0.61155304982972,0.5840869351040252,0.5927967065538301,0.017379269139220905,0.24411907484618434,9.716666666666667,0.25430262217814786
0.5778579235076904,0.0791571494362673,0.09941840171813965,0.02721147320164436,5,10,,12,squared_error,0.001,"{'model__min_samples_split': 5, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'squared_error', 'model__ccp_alpha': 0.001}",0.20361879292232055,0.3354185840388608,0.3104255756669386,0.30530637436064145,0.36717171292734485,0.30438820798322125,0.05494801285030115,4,0.7199721971775175,0.7148754779000106,0.7120044636713934,0.712097926359553,0.6919969797317618,0.7101894089680473,0.00954529759529304,0.405801200984826,15.95,0.14095778763853212
0.6374922752380371,0.05005712683987779,0.09027595520019531,0.023381255415857553,2,10,,,absolute_error,0.002,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': None, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.002}",0.23867537023780527,0.31053821547948046,0.3032657952742529,0.2265104117288217,0.3923907790596095,0.294276114355994,0.05942287594002187,5,0.6571071070080466,0.6677213767132698,0.6248144357281221,0.6641370386335659,0.6310903757866626,0.6489740667739334,0.017612710550197388,0.35469795241793944,25.5,0.1296318310097152
0.6825561046600341,0.05113553366304735,0.08305625915527344,0.018344258420167223,20,10,,12,absolute_error,0.0001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 10, 'model__max_features': None, 'model__max_depth': 12, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.0001}",0.23252142051224478,0.2901546718285264,0.2833143613204109,0.22320459089521072,0.3803039945502519,0.28189980782132895,0.05592294936859075,6,0.6716475478610267,0.681597248906838,0.6533933365474093,0.6762454939535074,0.6441150698064066,0.6653997394150376,0.014256336736987155,0.38349993159370865,15.275,0.12762483176353093
0.6609549522399902,0.049854573073193346,0.08933501243591309,0.025993352674618588,20,1,,9,friedman_mse,0.0005,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 1, 'model__max_features': None, 'model__max_depth': 9, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0005}",0.21267166171741814,0.22034357003777139,0.2686403505933299,0.177902175226488,0.32275092903537994,0.24046173732207748,0.05031157537844223,7,0.7814801306844722,0.7693041760407925,0.7566765477160216,0.7663280074202924,0.733001334241391,0.761358039220594,0.016240439151309585,0.5208963018985164,21.175,0.026298031657596747
0.6861083030700683,0.07967094218675455,0.09239935874938965,0.03437891401396834,20,5,,15,absolute_error,0.001,"{'model__min_samples_split': 20, 'model__min_samples_leaf': 5, 'model__max_features': None, 'model__max_depth': 15, 'model__criterion': 'absolute_error', 'model__ccp_alpha': 0.001}",0.25000237993405616,0.165131392458157,0.19157106722208483,0.21683518740186603,0.27459074727702815,0.2196261548586384,0.039264177160043816,8,0.710720655554927,0.7297170176764021,0.6764057245825112,0.697907906218553,0.6927666346936483,0.7015035877452084,0.01788920331983005,0.48187743288657,19.05,0.023369053348338907
0.5826199531555176,0.12279529332983526,0.09684433937072753,0.02413638223727139,2,20,log2,,friedman_mse,0.0,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 20, 'model__max_features': 'log2', 'model__max_depth': None, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0}",0.1688762168965059,0.18358347515946727,0.2832773572729691,0.1858663438998306,0.1885609567493498,0.2020328699956245,0.04119043466640152,9,0.4438038881504903,0.37051406012437427,0.41210012467255575,0.39854553617455335,0.3580754793948676,0.3966078177033682,0.030452785336855043,0.19457494770774372,24.5,0.09543163829791419
0.5847509860992431,0.07165929323165918,0.0714571475982666,0.028005105878640142,2,10,log2,,friedman_mse,0.0005,"{'model__min_samples_split': 2, 'model__min_samples_leaf': 10, 'model__max_features': 'log2', 'model__max_depth': None, 'model__criterion': 'friedman_mse', 'model__ccp_alpha': 0.0005}",0.08277156756740889,0.014113318713439904,0.26814259863690015,0.24758896600909575,0.21621816675150363,0.16576692353566966,0.09960722704387913,10,0.4399890165614674,0.4126804827721555,0.527384095162172,0.5093479223032464,0.4972039349798033,0.477321090355769,0.0435877088357332,0.3115541668200993,24.875,0.017472965148634917
